ticker,date,shares_outstanding,float_shares,iwf
AFL,2023-01-03,540644992.0,535871132.0,0.9911700652542066
AFL,2023-01-04,540644992.0,535871132.0,0.9911700652542066
AFL,2023-01-05,540644992.0,535871132.0,0.9911700652542066
AFL,2023-01-06,540644992.0,535871132.0,0.9911700652542066
AFL,2023-01-09,540644992.0,535871132.0,0.9911700652542066
AFL,2023-01-10,540644992.0,535871132.0,0.9911700652542066
AFL,2023-01-11,540644992.0,535871132.0,0.9911700652542066
AFL,2023-01-12,540644992.0,535871132.0,0.9911700652542066
AFL,2023-01-13,540644992.0,535871132.0,0.9911700652542066
AFL,2023-01-17,540644992.0,535871132.0,0.9911700652542066
AFL,2023-01-18,540644992.0,535871132.0,0.9911700652542066
AFL,2023-01-19,540644992.0,535871132.0,0.9911700652542066
AFL,2023-01-20,540644992.0,535871132.0,0.9911700652542066
AFL,2023-01-23,540644992.0,535871132.0,0.9911700652542066
AFL,2023-01-24,540644992.0,535871132.0,0.9911700652542066
AFL,2023-01-25,540644992.0,535871132.0,0.9911700652542066
AFL,2023-01-26,540644992.0,535871132.0,0.9911700652542066
AFL,2023-01-27,540644992.0,535871132.0,0.9911700652542066
AFL,2023-01-30,540644992.0,535871132.0,0.9911700652542066
AFL,2023-01-31,540644992.0,535871132.0,0.9911700652542066
AFL,2023-02-01,540644992.0,535871132.0,0.9911700652542066
AFL,2023-02-02,540644992.0,535871132.0,0.9911700652542066
AFL,2023-02-03,540644992.0,535871132.0,0.9911700652542066
AFL,2023-02-06,540644992.0,535871132.0,0.9911700652542066
AFL,2023-02-07,540644992.0,535871132.0,0.9911700652542066
AFL,2023-02-08,540644992.0,535871132.0,0.9911700652542066
AFL,2023-02-09,540644992.0,535871132.0,0.9911700652542066
AFL,2023-02-10,540644992.0,535871132.0,0.9911700652542066
AFL,2023-02-13,540644992.0,535871132.0,0.9911700652542066
AFL,2023-02-14,540644992.0,535871132.0,0.9911700652542066
AFL,2023-02-15,540644992.0,535871132.0,0.9911700652542066
AFL,2023-02-16,540644992.0,535871132.0,0.9911700652542066
AFL,2023-02-17,540644992.0,535871132.0,0.9911700652542066
AFL,2023-02-21,540644992.0,535871132.0,0.9911700652542066
AFL,2023-02-22,540644992.0,535871132.0,0.9911700652542066
AFL,2023-02-23,540644992.0,535871132.0,0.9911700652542066
AFL,2023-02-24,540644992.0,535871132.0,0.9911700652542066
AFL,2023-02-27,540644992.0,535871132.0,0.9911700652542066
AFL,2023-02-28,540644992.0,535871132.0,0.9911700652542066
AFL,2023-03-01,540644992.0,535871132.0,0.9911700652542066
